MetaRaw,Player Name,Profile URL,Position,Born,College,High School,Draft,Height,Weight,TransactionsRaw
"Position: Center and Power Forward


  
  ▪ Shoots: Right; Born: September 19 , 1999 (Age: 26-023d) in Port Harcourt, Nigeria ng; College: Memphis; High Schools: Our Savior Lutheran in Bronx, New York , 
    
      St. Benedict's Prep in Newark, New Jersey , 
    
      Montverde Academy in Montverde, Florida; Recruiting Rank: 2019 (14); Draft: Miami Heat , 1st round (20th pick, 20th overall), 2020 NBA Draft; NBA Debut: December 23, 2020; Experience: 5 years; (Age: 26-023d); Height: 6-8; Weight: 225lb",Precious Achiuwa,https://www.basketball-reference.com/players/a/achiupr01.html,"Center and Power Forward


  
  ▪ Shoots: Right","September 19 , 1999 (Age: 26-023d) in Port Harcourt, Nigeria ng",Memphis,,"Miami Heat , 1st round (20th pick, 20th overall), 2020 NBA Draft",6-8,225lb,"November 18, 2020
: Drafted by the
Miami Heat
in the 1st round (20th pick) of the 2020 NBA Draft.
November 25, 2020
: Signed a multi-year contract with the
Miami Heat
.
August 6, 2021
: Traded by the
Miami Heat
with
Goran Dragic
to the
Toronto Raptors
for
Kyle Lowry
. Toronto also received a trade exception
December 30, 2023
: Traded by the
Toronto Raptors
with
OG Anunoby
and
Malachi Flynn
to the
New York Knicks
for
R.J. Barrett
,
Immanuel Quickley
and a 2024 2nd round draft pick (
Jonathan Mogbo
was later selected).  Toronto also received a trade exception 2024 2nd-rd pick is DET own New York also received a trade exception
July 30, 2024
: Signed a contract with the
New York Knicks
.
September 25, 2025
: Signed a contract with the
Miami Heat
."
"Position: Shooting Guard


  
  ▪ Shoots: Right; Born: January 21 , 1983 (Age: 42-264d) in Compton, California us; College: Pepperdine; High School: Eisenhower in Rialto, California; Draft: Detroit Pistons , 2nd round (30th pick, 60th overall), 2005 NBA Draft; NBA Debut: February 21, 2006; Career Length: 2 years; (Age: 42-264d); Height: 6-5; Weight: 185lb",Alex Acker,https://www.basketball-reference.com/players/a/ackeral01.html,"Shooting Guard


  
  ▪ Shoots: Right","January 21 , 1983 (Age: 42-264d) in Compton, California us",Pepperdine,"Eisenhower in Rialto, California","Detroit Pistons , 2nd round (30th pick, 60th overall), 2005 NBA Draft",6-5,185lb,"December 18, 1997
: Traded by the
Philadelphia 76ers
(as a
future
2005 2nd round draft pick)  with
Eric Montross
and
Jerry Stackhouse
to the
Detroit Pistons
for
Aaron McKie
,
Theo Ratliff
and a 2003 1st round draft pick (
Carlos Delfino
was later selected). (Pick was PHI's choice of 2003-2005 2nd round picks. Ultimately PHI sent PHO's 2005 2nd round pick, acquired on 6/7/05 from UTA.)
February 19, 2004
: Traded by the
Phoenix Suns
(as a
future
2005 2nd round draft pick)  with
Tom Gugliotta
, a 2004 1st round draft pick (
Kirk Snyder
was later selected) and a 2010 1st round draft pick (
Gordon Hayward
was later selected) to the
Utah Jazz
for
Keon Clark
and
Ben Handlogten
.
June 7, 2005
: Traded by the
Utah Jazz
(as a
future
2005 2nd round draft pick)  to the
Philadelphia 76ers
for a 2008 2nd round draft pick (
Ante Tomić
was later selected).
June 28, 2005
: Drafted by the
Detroit Pistons
in the 2nd round (60th pick) of the 2005 NBA Draft.
March 2, 2006
: Assigned to the
Fayetteville Patriots
of the G-League.
April 17, 2006
: Recalled from the
Fayetteville Patriots
of the G-League.
January 2, 2009
: Assigned to the
Fort Wayne Mad Ants
of the G-League.
January 8, 2009
: Recalled from the
Fort Wayne Mad Ants
of the G-League.
February 16, 2009
: Traded by the
Detroit Pistons
with a 2011 2nd round draft pick (
Trey Thompkins
was later selected) to the
Los Angeles Clippers
for a 2013 2nd round draft pick (
Peyton Siva
was later selected)."
"Position: Point Guard


  
  ▪ Shoots: Right; Born: September 4 , 1930 in New York, New York us; Died: July 9, 2011 (Aged 80-308d); College: Long Island University; High School: Metropolitan in New York, New York; Draft: New York Knicks , 2nd round (2nd pick, 11th overall), 1953 NBA Draft; NBA Debut: October 31, 1953; Career Length: 1 year; Height: 6-0; Weight: 183lb",Don Ackerman,https://www.basketball-reference.com/players/a/ackerdo01.html,"Point Guard


  
  ▪ Shoots: Right","September 4 , 1930 in New York, New York us",Long Island University,"Metropolitan in New York, New York","New York Knicks , 2nd round (2nd pick, 11th overall), 1953 NBA Draft",6-0,183lb,"April 24, 1953
: Drafted by the
New York Knicks
in the 2nd round (11th pick) of the 1953 NBA Draft."
"Position: Center


  
  ▪ Shoots: Right; Born: November 15 , 1962 (Age: 62-331d) in Inglewood, California us; College: Oral Roberts; High School: Palos Verdes in Palos Verdes Estates, California; Draft: Dallas Mavericks , 2nd round (16th pick, 40th overall), 1985 NBA Draft; NBA Debut: November 6, 1987; Career Length: 6 years; (Age: 62-331d); Height: 6-11; Weight: 220lb",Mark Acres,https://www.basketball-reference.com/players/a/acresma01.html,"Center


  
  ▪ Shoots: Right","November 15 , 1962 (Age: 62-331d) in Inglewood, California us",Oral Roberts,"Palos Verdes in Palos Verdes Estates, California","Dallas Mavericks , 2nd round (16th pick, 40th overall), 1985 NBA Draft",6-11,220lb,"June 18, 1985
: Drafted by the
Dallas Mavericks
in the 2nd round (40th pick) of the 1985 NBA Draft.
May 7, 1987
: Signed as a free agent with the
Boston Celtics
.
August 1, 1988
: Signed as a free agent with the
Boston Celtics
.
June 15, 1989
: Drafted by the
Orlando Magic
from the
Boston Celtics
in the NBA expansion draft.
October 2, 1990
: Signed a contract with the
Orlando Magic
.
September 1, 1991
: Signed a contract with the
Orlando Magic
.
November 13, 1992
: Signed as a free agent with the
Houston Rockets
.
December 29, 1992
: Waived by the
Houston Rockets
.
February 22, 1993
: Signed a 10-day contract with the
Chicago Bulls
.
April 3, 1993
: Signed the first of two 10-day contracts with the
Washington Bullets
.
April 23, 1993
: Signed as a free agent with the
Washington Bullets
."
"Position: Small Forward


  
  ▪ Shoots: Right; Born: January 11 , 1942 (Age: 83-274d) in United States us; College: Hillsdale College; High School: Troy in Troy, Michigan; NBA Debut: February 1, 1968; Career Length: 1 year; (Age: 83-274d); Height: 6-6; Weight: 210lb",Bud Acton,https://www.basketball-reference.com/players/a/actonbu01.html,"Small Forward


  
  ▪ Shoots: Right","January 11 , 1942 (Age: 83-274d) in United States us",Hillsdale College,"Troy in Troy, Michigan",,6-6,210lb,"February 1, 1968
: Signed as a free agent with the
San Diego Rockets
."
"Position: Power Forward and Small Forward


  
  ▪ Shoots: Right; Born: October 6 , 1990 (Age: 35-006d) in Tyler, Texas us; College: Baylor; High School: Mesquite Horn in Mesquite, Texas; Draft: Toronto Raptors , 2nd round (7th pick, 37th overall), 2012 NBA Draft; NBA Debut: November 7, 2012; Career Length: 7 years; (Age: 35-006d); Height: 6-7; Weight: 240lb",Quincy Acy,https://www.basketball-reference.com/players/a/acyqu01.html,"Power Forward and Small Forward


  
  ▪ Shoots: Right","October 6 , 1990 (Age: 35-006d) in Tyler, Texas us",Baylor,"Mesquite Horn in Mesquite, Texas","Toronto Raptors , 2nd round (7th pick, 37th overall), 2012 NBA Draft",6-7,240lb,"June 28, 2012
: Drafted by the
Toronto Raptors
in the 2nd round (37th pick) of the 2012 NBA Draft.
December 6, 2012
: Assigned to the
Bakersfield Jam
of the G-League.
December 12, 2012
: Recalled from the
Bakersfield Jam
of the G-League.
March 4, 2013
: Assigned to the
Bakersfield Jam
of the G-League.
March 26, 2013
: Recalled from the
Bakersfield Jam
of the G-League.
December 9, 2013
: Traded by the
Toronto Raptors
with
Rudy Gay
and
Aaron Gray
to the
Sacramento Kings
for
Chuck Hayes
,
Patrick Patterson
,
John Salmons
and
Greivis Vásquez
.
August 6, 2014
: Traded by the
Sacramento Kings
with
Travis Outlaw
to the
New York Knicks
for
Wayne Ellington
and
Jeremy Tyler
.
July 22, 2015
: Signed a multi-year contract with the
Sacramento Kings
.
July 20, 2016
: Signed a multi-year contract with the
Dallas Mavericks
.
November 18, 2016
: Waived by the
Dallas Mavericks
.
January 10, 2017
: Signed a 10-day contract with the
Brooklyn Nets
.
January 20, 2017
: Signed a 2nd 10-day contract with the
Brooklyn Nets
.
January 30, 2017
: Signed a multi-year contract with the
Brooklyn Nets
.
January 7, 2019
: Signed a 10-day contract with the
Phoenix Suns
.
January 17, 2019
: Signed a 2nd 10-day contract with the
Phoenix Suns
."
"Position: Center and Power Forward


  
  ▪ Shoots: Right; Born: July 19 , 1954 (Age: 71-085d) in Lawrence, Kansas us; College: Oklahoma; High School: Putnam City in Warr Acres, Oklahoma; Draft: Phoenix Suns , 1st round (4th pick, 4th overall), 1975 NBA Draft; NBA Debut: October 25, 1975; Career Length: 13 years; (Age: 71-085d); Height: 6-9; Weight: 210lb",Alvan Adams,https://www.basketball-reference.com/players/a/adamsal01.html,"Center and Power Forward


  
  ▪ Shoots: Right","July 19 , 1954 (Age: 71-085d) in Lawrence, Kansas us",Oklahoma,"Putnam City in Warr Acres, Oklahoma","Phoenix Suns , 1st round (4th pick, 4th overall), 1975 NBA Draft",6-9,210lb,"May 29, 1975
: Drafted by the
Phoenix Suns
in the 1st round (4th pick) of the 1975 NBA Draft.
April 29, 1988
: Retired from the
Phoenix Suns
."
"Position: Small Forward


  
  ▪ Shoots: Right; Born: November 27 , 1947 in Atlanta, Georgia us; Died: December 25, 2013 (Aged 66-028d); College: Northwestern; High School: South Fulton in South Fulton, Georgia; Draft: San Diego Rockets , 8th round (1st pick, 120th overall), 1970 NBA Draft; NBA Debut: October 13, 1970 ▪ ABA Debut: March 4, 1975; Career Length: 7 years; Height: 6-6; Weight: 210lb",Don Adams,https://www.basketball-reference.com/players/a/adamsdo01.html,"Small Forward


  
  ▪ Shoots: Right","November 27 , 1947 in Atlanta, Georgia us",Northwestern,"South Fulton in South Fulton, Georgia","San Diego Rockets , 8th round (1st pick, 120th overall), 1970 NBA Draft",6-6,210lb,"March 23, 1970
: Drafted by the
San Diego Rockets
in the 8th round (120th pick) of the 1970 NBA Draft.
November 9, 1971
: Traded by the
Houston Rockets
with
Larry Siegfried
to the
Atlanta Hawks
for
Jim Davis
and
John Vallely
.
October 31, 1972
: Traded by the
Atlanta Hawks
to the
Detroit Pistons
for a 1973 2nd round draft pick (
Tom Ingelsby
was later selected).
February 18, 1975
: Waived by the
Detroit Pistons
.
March 3, 1975
: Signed a contract with the
Spirits of St. Louis
.
December 4, 1975
: Waived by the
Spirits of St. Louis
.
December 5, 1975
: Signed as a free agent with the
Buffalo Braves
.
August 5, 1977
: Signed as a veteran free agent with the
Detroit Pistons
; the
Buffalo Braves
received a 1978 3rd round draft pick (
Ricky Gallon
was later selected) as compensation.
August 8, 1977
: Waived by the
Detroit Pistons
."
"Position: Small Forward


  
  ▪ Shoots: Right; Born: May 15 , 1949 (Age: 76-150d) in Kings Mountain, North Carolina us; College: Gardner-Webb University; Draft: Milwaukee Bucks , 3rd round (16th pick, 46th overall), 1972 NBA Draft; ABA Debut: November 1, 1972; Career Length: 3 years; (Age: 76-150d); Height: 6-5; Weight: 210lb",George Adams,https://www.basketball-reference.com/players/a/adamsge01.html,"Small Forward


  
  ▪ Shoots: Right","May 15 , 1949 (Age: 76-150d) in Kings Mountain, North Carolina us",Gardner-Webb University,,"Milwaukee Bucks , 3rd round (16th pick, 46th overall), 1972 NBA Draft",6-5,210lb,"April 10, 1972
: Drafted by the
Milwaukee Bucks
in the 3rd round (46th pick) of the 1972 NBA Draft.
October 30, 1972
: Signed a contract with the
San Diego Conquistadors
."
"Position: Shooting Guard


  
  ▪ Shoots: Right; Born: June 20 , 1984 (Age: 41-114d) in Inglewood, California us; College: Arizona; High School: Westchester in Los Angeles, California; Recruiting Rank: 2002 (20); Draft: New Jersey Nets , 2nd round (24th pick, 54th overall), 2006 NBA Draft; NBA Debut: November 1, 2006; Career Length: 2 years; (Age: 41-114d); Height: 6-4; Weight: 220lb",Hassan Adams,https://www.basketball-reference.com/players/a/adamsha01.html,"Shooting Guard


  
  ▪ Shoots: Right","June 20 , 1984 (Age: 41-114d) in Inglewood, California us",Arizona,"Westchester in Los Angeles, California","New Jersey Nets , 2nd round (24th pick, 54th overall), 2006 NBA Draft",6-4,220lb,"June 28, 2006
: Drafted by the
New Jersey Nets
in the 2nd round (54th pick) of the 2006 NBA Draft.
July 8, 2008
: Signed as a free agent with the
Toronto Raptors
.
January 1, 2009
: Traded by the
Toronto Raptors
to the
Los Angeles Clippers
for cash and a 2015 2nd round draft pick. Conditional 2015 2nd-rd pick did not convey
January 7, 2009
: Released by the
Toronto Raptors
."
"Position: Point Guard


  
  ▪ Shoots: Right; Born: May 4 , 1996 (Age: 29-161d) in Baltimore, Maryland us; College: St. Bonaventure; High School: Mount St. Joseph in Baltimore, Maryland; NBA Debut: October 17, 2018; Career Length: 3 years; (Age: 29-161d); Height: 6-0; Weight: 225lb",Jaylen Adams,https://www.basketball-reference.com/players/a/adamsja01.html,"Point Guard


  
  ▪ Shoots: Right","May 4 , 1996 (Age: 29-161d) in Baltimore, Maryland us",St. Bonaventure,"Mount St. Joseph in Baltimore, Maryland",,6-0,225lb,"July 1, 2018
: Signed a two-way contract with the
Atlanta Hawks
.
February 20, 2019
: Converted from a two-way contract to a regular contract by the
Atlanta Hawks
.
July 13, 2019
: Waived by the
Atlanta Hawks
.
August 20, 2019
: Signed as a free agent with the
Milwaukee Bucks
.
October 14, 2019
: Waived by the
Milwaukee Bucks
.
July 1, 2020
: Signed a substitution contract with the
Portland Trail Blazers
. (substituting for Trevor Ariza)
November 24, 2020
: Signed a two-way contract with the
Milwaukee Bucks
."
